Title,Note,URL,Comment
Giant's Causeway,,https://www.google.com/maps/place/Giant's+Causeway/data=!4m2!3m1!1s0x48602944f4158f0f:0xf3228ca019de1fd2,
Dunluce Castle,,https://www.google.com/maps/place/Dunluce+Castle/data=!4m2!3m1!1s0x48602f44a2eb43c5:0x10a91dc5612d9ab8,
The Dark Hedges,,https://www.google.com/maps/place/The+Dark+Hedges/data=!4m2!3m1!1s0x48603291a0832537:0xafbab1b6ed2c5e61,
Fanad Head Lighthouse,,https://www.google.com/maps/place/Fanad+Head+Lighthouse/data=!4m2!3m1!1s0x48f5585d42f3afc5:0x71c16b391cbc74e2,
Slieve League,,https://www.google.com/maps/place/Slieve+League/data=!4m2!3m1!1s0x485f22efa6f2c15b:0x7b8255838d972820,
Benbulbin,,https://www.google.com/maps/place/Benbulbin/data=!4m2!3m1!1s0x485ee7034e7a0717:0x5afe347acd7ec6b6,
Marble Arch Caves,,https://www.google.com/maps/place/Marble+Arch+Caves/data=!4m2!3m1!1s0x485e5cba72b1b343:0x9a960c998a2ab74d,
Tollymore Forest Park,,https://www.google.com/maps/place/Tollymore+Forest+Park/data=!4m2!3m1!1s0x486123549d40589f:0x7bdd670b88e1c0b8,
The Spire,,https://www.google.com/maps/place/The+Spire/data=!4m2!3m1!1s0x48670e843e66bd41:0x4978811bdf0f9af7,
O'Connell Bridge,,https://www.google.com/maps/place/O'Connell+Bridge/data=!4m2!3m1!1s0x48670fc333488c23:0xd936b7935d3b0a0b,
Trinity College Dublin,,https://www.google.com/maps/place/Trinity+College+Dublin/data=!4m2!3m1!1s0x48670e9b2dc78edd:0x2700fe0d8c716167,
The Book of Kells,,https://www.google.com/maps/place/The+Book+of+Kells/data=!4m2!3m1!1s0x48670e9b2dc78edd:0x50c31b465d3f4fa4,
Ha'penny Bridge,,https://www.google.com/maps/place/Ha'penny+Bridge/data=!4m2!3m1!1s0x48670e8361927b15:0x47d5361c712db86f,
Dublin Castle,,https://www.google.com/maps/place/Dublin+Castle/data=!4m2!3m1!1s0x48670e873566ff89:0x50fcdf6c0e15686,
The Brazen Head,,https://www.google.com/maps/place/The+Brazen+Head/data=!4m2!3m1!1s0x48670c2f59990ae7:0x316ccdee24ae96ab,
Guinness Storehouse,,https://www.google.com/maps/place/Guinness+Storehouse/data=!4m2!3m1!1s0x48670e8440c5056b:0xb31933927505e7a2,
Kilmainham Gaol,,https://www.google.com/maps/place/Kilmainham+Gaol/data=!4m2!3m1!1s0x48670c5a0a247c6d:0x18d468520fc17c3b,
Powerscourt Waterfall,,https://www.google.com/maps/place/Powerscourt+Waterfall/data=!4m2!3m1!1s0x4867a6a894511803:0x2e0fdd07918cfadc,
Glendalough,,https://www.google.com/maps/place/Glendalough/data=!4m2!3m1!1s0x4867978329c6ed85:0xa75e9d88c04e3da2,
Sean's Bar,,https://www.google.com/maps/place/Sean's+Bar/data=!4m2!3m1!1s0x485c4902490113ad:0x91275f28adc7bce0,
"Leap Castle, Ireland",,"https://www.google.com/maps/place/Leap+Castle,+Ireland/data=!4m2!3m1!1s0x485cfbc1cf744419:0xda6b82088ec5d645",
King John's Castle,,https://www.google.com/maps/place/King+John's+Castle/data=!4m2!3m1!1s0x485b5c42ce02433d:0xfa8910967d69aef4,
Rock of Cashel,,https://www.google.com/maps/place/Rock+of+Cashel/data=!4m2!3m1!1s0x485ccbde708a41f5:0xcc3e472ab1b680dd,
